Num Items: 32
Slot: 0
ID: 6
Amount: 1
Type: 0
Slot: 1
ID: 6
Amount: 1
Type: 0
Slot: 2
ID: 6
Amount: 2
Type: 0
Slot: 3
ID: 6
Amount: 3
Type: 0
Slot: 4
ID: 6
Amount: 3
Type: 0
Slot: 5
ID: 6
Amount: 2
Type: 0
Slot: 6
ID: 6
Amount: 3
Type: 0
Slot: 7
ID: 6
Amount: 3
Type: 0
Slot: 9
ID: 6
Amount: 3
Type: 0
Slot: 10
ID: 6
Amount: 3
Type: 0
Slot: 11
ID: 6
Amount: 3
Type: 0
Slot: 12
ID: 6
Amount: 3
Type: 0
Slot: 13
ID: 6
Amount: 3
Type: 0
Slot: 14
ID: 6
Amount: 3
Type: 0
Slot: 15
ID: 6
Amount: 3
Type: 0
Slot: 16
ID: 6
Amount: 3
Type: 0
Slot: 17
ID: 6
Amount: 3
Type: 0
Slot: 18
ID: 6
Amount: 3
Type: 0
Slot: 19
ID: 6
Amount: 3
Type: 0
Slot: 20
ID: 6
Amount: 3
Type: 0
Slot: 22
ID: 16
Amount: 1
Type: 0
Slot: 23
ID: 6
Amount: 3
Type: 0
Slot: 24
ID: 6
Amount: 3
Type: 0
Slot: 25
ID: 6
Amount: 3
Type: 0
Slot: 26
ID: 6
Amount: 3
Type: 0
Slot: 27
ID: 6
Amount: 3
Type: 0
Slot: 28
ID: 6
Amount: 3
Type: 0
Slot: 29
ID: 6
Amount: 3
Type: 0
Slot: 30
ID: 6
Amount: 3
Type: 0
Slot: 31
ID: 6
Amount: 3
Type: 0
Slot: 32
ID: 6
Amount: 3
Type: 0
Slot: 33
ID: 6
Amount: 3
Type: 0
